"PURCHASE_PAYMENT_ID"	"PURCHASE_ID"	"PAYMENT_AMOUNT"	"PAYMENT_DATETIME"	"PAYMENT_METHOD_CODE"
"70"	"52"	"40.00"	"2007-12-23 23:59:40.000"	"HAN"
"71"	"52"	"40.00"	"2008-12-23 23:59:40.000"	"HAN"
"72"	"52"	"40.00"	"2009-12-23 23:59:40.000"	"HAN"
"73"	"52"	"40.00"	"2010-12-23 23:59:40.000"	"BAK"
"74"	"52"	"40.00"	"2011-12-23 23:59:40.000"	"CRC"
"75"	"52"	"40.00"	"2012-12-23 23:59:40.000"	"BAK"
"76"	"52"	"40.00"	"2013-12-23 23:59:40.000"	"HAN"
"77"	"52"	"40.00"	"2014-12-23 23:59:40.000"	"HAN"
"78"	"52"	"40.00"	"2015-12-23 23:59:40.000"	"HAN"
"79"	"53"	"600000.00"	"2007-12-28 12:13:10.000"	"BAK"
"80"	"54"	"1700.42"	"2008-02-22 23:59:41.000"	"CRC"
"81"	"55"	"1600.00"	"2012-07-21 12:13:00.000"	"HAN"
"82"	"55"	"200.00"	"2008-07-21 12:13:00.000"	"CRC"
"83"	"56"	"2000.00"	"2009-12-22 23:59:42.000"	"HAN"
"84"	"56"	"2000.00"	"2009-12-22 23:59:42.000"	"HAN"
"85"	"56"	"2000.00"	"2009-12-22 23:59:42.000"	"HAN"
"86"	"56"	"2000.00"	"2009-12-22 23:59:42.000"	"HAN"
"87"	"57"	"999.00"	"2014-02-01 02:13:00.000"	"HAN"
"88"	"58"	"4000000.00"	"2006-12-12 23:59:43.000"	"HAN"
"89"	"59"	"380.77"	"2013-05-01 02:03:00.000"	"CRC"
"90"	"60"	"675.88"	"2006-12-12 23:59:44.000"	"BAK"
"91"	"61"	"12000000.00"	"2008-03-03 06:34:56.000"	"HAN"
"92"	"62"	"20000.00"	"2009-06-04 06:34:56.000"	"HAN"
"93"	"63"	"2000.00"	"2010-09-26 06:34:56.000"	"HAN"
"94"	"64"	"50.00"	"2011-03-03 09:45:29.000"	"BAK"
"95"	"65"	"1000000.00"	"2012-06-04 09:45:29.000"	"BAK"
"96"	"66"	"900000.00"	"2013-09-26 09:45:29.000"	"BAK"
"97"	"67"	"3000.00"	"2014-03-03 21:02:12.000"	"CRC"
"98"	"68"	"3000.00"	"2015-06-04 21:02:12.000"	"CRC"
"99"	"69"	"1000.00"	"2016-09-26 21:02:12.000"	"CRC"
"100"	"70"	"1200.00"	"2017-03-03 01:11:00.000"	"HAN"
